X,Y,OID,MXASSETID,MXLOCATION,ADDRESS,DeviceId,DDLat,DDLon
130.8412734,-12.46274859,1,MX718750,SL-S11600,21 KNUCKEY ST DARWIN CITY,132218FDC337DEBC,-12.46274859S,130.84127340E
130.8346782,-12.46009871,2,MX718797,SL-S7639,109 ESPLANADE   DARWIN CITY,752B18FDC337DEF2,-12.46009871S,130.83467816E
130.8408621,-12.46612789,3,MX718826,SL-S11497,109 ESPLANADE   DARWIN CITY,552518FDC337DEEA,-12.46612789S,130.84086205E
130.8435506,-12.46495537,4,MX718857,SL-S11553,4 BENNETT ST DARWIN CITY,7A6318FDC337DE32 ,-12.46495537S,130.84355058E
130.8424188,-12.4655433,5,MX718863,SL-S11543,22 MITCHELL ST DARWIN CITY,577218FDC337DE64,-12.46554330S,130.84241881E
130.8397068,-12.45531824,6,MX718910,SL-S11234,81 MCMINN ST DARWIN CITY,675B10FDC337DE52,-12.45531824S,130.83970684E
130.8372308,-12.45661408,7,MX718942,SL-S11424,25 DALY ST DARWIN CITY,691B10FDC337DE02,-12.45661408S,130.83723079E
130.843789,-12.45926556,8,MX718972,SL-S11223,8 MANTON ST DARWIN CITY,435D10FDC337DE70,-12.45926556S,130.84378904E
130.8423134,-12.46156524,9,MX719005,SL-S7285,40 CAVENAGH ST DARWIN CITY,3B6E10FDC337DE73,-12.46156524S,130.84231342E
130.8463504,-12.46530844,10,,Traveller's Walk,,2E3818FDC337DE0D,-12.46530844S,130.84635043E
130.8445492,-12.46723103,11,,S11479,,548018FDC337DE6F,-12.46723103S,130.84454923E
130.8442544,-12.46360118,12,,Palm Court,,5B3A18FDC337DEC2,-12.46360118S,130.84425437E
130.8388829,-12.46206818,13,,S736,,5B5218FDC337DEC0,-12.46206818S,130.83888287E
130.8377815,-12.45937879,14,,S7662,,2A6F18FDC337DE4F,-12.45937879S,130.83778149E
130.8408292,-12.46393206,15,,Tamarind Park,,502510FDC337DE59,-12.46393206S,130.84082917E
